icpsr_project_id,repo_doi,openicpsr_url,paper_title,journal,year
112937,10.3886/e112937v1,https://www.openicpsr.org/openicpsr/project/112937/version/V1/view,The Next Generation of the Penn World Table,American Economic Review,2015
112926,10.3886/e112926v1,https://www.openicpsr.org/openicpsr/project/112926/version/V1/view,Adverse Selection and an Individual Mandate: When Theory Meets Practice,American Economic Review,2015
112908,10.3886/e112908v1,https://www.openicpsr.org/openicpsr/project/112908/version/V1/view,Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,American Economic Review,2015
112907,10.3886/e112907v1,https://www.openicpsr.org/openicpsr/project/112907/version/V1/view,Punishment and Deterrence: Evidence from Drunk Driving,American Economic Review,2015
112900,10.3886/e112900v1,https://www.openicpsr.org/openicpsr/project/112900/version/V1/view,Trafficking Networks and the Mexican Drug War,American Economic Review,2015
112887,10.3886/e112887v1,https://www.openicpsr.org/openicpsr/project/112887/version/V1/view,Comment on “Risk Preferences Are Not Time Preferences”: On the Elicitation of Time Preference under Conditions of Risk,American Economic Review,2015
112882,10.3886/e112882v1,https://www.openicpsr.org/openicpsr/project/112882/version/V1/view,Estimating Neighborhood Choice Models: Lessons from a Housing Assistance Experiment,American Economic Review,2015
112881,10.3886/e112881v1,https://www.openicpsr.org/openicpsr/project/112881/version/V1/view,Paying Attention or Paying Too Much in Medicare Part D,American Economic Review,2015
112876,10.3886/e112876v1,https://www.openicpsr.org/openicpsr/project/112876/version/V1/view,The Anatomy of a Credit Crisis: The Boom and Bust in Farm Land Prices in the United States in the 1920s,American Economic Review,2015
112870,10.3886/e112870v1,https://www.openicpsr.org/openicpsr/project/112870/version/V1/view,Optimal Life Cycle Unemployment Insurance,American Economic Review,2015
116120,10.3886/e116120v1,https://www.openicpsr.org/openicpsr/project/116120/version/V1/view,Investment Dispersion and the Business Cycle,American Economic Review,2014
114884,10.3886/e114884v1,https://www.openicpsr.org/openicpsr/project/114884/version/V1/view,Social Support Substitution and the Earnings Rebound: Evidence from a Regression Discontinuity in Disability Insurance Reform,American Economic Journal Economic Policy,2014
114868,10.3886/e114868v1,https://www.openicpsr.org/openicpsr/project/114868/version/V1/view,"Under Pressure: Job Security, Resource Allocation, and Productivity in Schools under No Child Left Behind",American Economic Journal Economic Policy,2014
114859,10.3886/e114859v1,https://www.openicpsr.org/openicpsr/project/114859/version/V1/view,Life and Death in the Fast Lane: Police Enforcement and Traffic Fatalities,American Economic Journal Economic Policy,2014
114857,10.3886/e114857v1,https://www.openicpsr.org/openicpsr/project/114857/version/V1/view,The Elasticity of Corporate Taxable Income: New Evidence from UK Tax Records,American Economic Journal Economic Policy,2014
114848,10.3886/e114848v1,https://www.openicpsr.org/openicpsr/project/114848/version/V1/view,The Revenue Demands of Public Employee Pension Promises,American Economic Journal Economic Policy,2014
114846,10.3886/e114846v1,https://www.openicpsr.org/openicpsr/project/114846/version/V1/view,Watch Your Step: Optimal Policy in a Tipping Climate,American Economic Journal Economic Policy,2014
114421,10.3886/e114421v1,https://www.openicpsr.org/openicpsr/project/114421/version/V1/view,Internet Penetration and Capacity Utilization in the US Airline Industry,American Economic Journal Microeconomics,2014
114420,10.3886/e114420v1,https://www.openicpsr.org/openicpsr/project/114420/version/V1/view,Resisting Moral Wiggle Room: How Robust Is Reciprocal Behavior?,American Economic Journal Microeconomics,2014
114301,10.3886/e114301v1,https://www.openicpsr.org/openicpsr/project/114301/version/V1/view,Accounting for Crises,American Economic Journal Macroeconomics,2014
114299,10.3886/e114299v1,https://www.openicpsr.org/openicpsr/project/114299/version/V1/view,Competition as a Discovery Procedure: Schumpeter Meets Hayek in a Model of Innovation,American Economic Journal Macroeconomics,2014
114297,10.3886/e114297v1,https://www.openicpsr.org/openicpsr/project/114297/version/V1/view,Persistent Liquidity Effects and Long-Run Money Demand,American Economic Journal Macroeconomics,2014
114294,10.3886/e114294v1,https://www.openicpsr.org/openicpsr/project/114294/version/V1/view,Resolving Debt Overhang: Political Constraints in the Aftermath of Financial Crises,American Economic Journal Macroeconomics,2014
113903,10.3886/e113903v1,https://www.openicpsr.org/openicpsr/project/113903/version/V1/view,Moral Hazard and Claims Deterrence in Private Disability Insurance,American Economic Journal Applied Economics,2014
113899,10.3886/e113899v1,https://www.openicpsr.org/openicpsr/project/113899/version/V1/view,Race and College Success: Evidence from Missouri,American Economic Journal Applied Economics,2014
113891,10.3886/e113891v1,https://www.openicpsr.org/openicpsr/project/113891/version/V1/view,Distortions in the International Migrant Labor Market: Evidence from Filipino Migration and Wage Responses to Destination Country Economic Shocks,American Economic Journal Applied Economics,2014
113887,10.3886/e113887v1,https://www.openicpsr.org/openicpsr/project/113887/version/V1/view,Testing Paternalism: Cash versus In-Kind Transfers,American Economic Journal Applied Economics,2014
112848,10.3886/e112848v1,https://www.openicpsr.org/openicpsr/project/112848/version/V1/view,A Community College Instructor Like Me: Race and Ethnicity Interactions in the Classroom,American Economic Review,2014
